CURRENT_SAC_END_X	CURRENT_SAC_END_Y	RECORDING_SESSION_LABEL	CURRENT_SAC_AMPLITUDE	CURRENT_SAC_AVG_VELOCITY	CURRENT_SAC_DIRECTION	CURRENT_SAC_DURATION	CURRENT_SAC_PEAK_VELOCITY	CURRENT_SAC_START_TIME	CURRENT_SAC_START_X	CURRENT_SAC_START_Y	DATA_FILE	target_direction	words	target_eccentricity	target_loc
507.8	408.2	belinda	0.6088531	50.73776	DOWN	12	75.3	894	505.1	395.0	belinda.edf	Left	stare	10	(292, 384)
514.5	382.3	belinda	1.555613	64.81721	UP	24	95.7	962	516.6	416.4	belinda.edf	Left	stare	10	(292, 384)
512.5	405.3	belinda	1.1582153	72.38846	DOWN	16	107.2	1030	510.1	379.9	belinda.edf	Left	stare	10	(292, 384)
304.5	391.7	belinda	8.333459	173.61372	LEFT	48	389.8	1122	517.0	392.7	belinda.edf	Left	stare	10	(292, 384)
512.9	372.8	belinda	1.0167627	3.4350092	UP	296	347.3	717	501.0	392.8	belinda.edf	Right	poultry	5	(622, 384)
616.4	397.9	belinda	3.9321566	109.22657	RIGHT	36	247.5	1177	513.0	385.8	belinda.edf	Right	poultry	5	(622, 384)
407.8	377.8	belinda	4.4009457	137.52956	LEFT	32	263.8	1118	520.2	375.1	belinda.edf	Left	heart	5	(402, 384)
388.6	384.3	belinda	4.8252835	134.03566	LEFT	36	254.5	1159	511.4	385.1	belinda.edf	Left	alligator	5	(402, 384)
726.6	375.7	belinda	7.868364	196.70909	RIGHT	40	365.5	1174	513.4	378.8	belinda.edf	Right	miracle	10	(732, 384)
703.5	356.3	belinda	7.665142	191.62856	RIGHT	40	343.3	1229	498.5	367.3	belinda.edf	Right	vaccinate	10	(732, 384)
